biog_id	x姓名	성명	name	alt_name	alt_name2	姓貫	office	reference	vol	page	side	notes
EB04060	權奉臨	권봉림	Kwŏn Pongnim			安東 權	生員	安東權氏成化譜	3	25	b	
EB04062	金可則	김가칙	Kim Kach'ik				 	安東權氏成化譜	3	25	b	
EB04064	李孝梅	이효매	Yi Hyomae				 	安東權氏成化譜	3	25	b	
EB04066	金瑀	김우	Kim U				 	安東權氏成化譜	3	25	b	
E001024	權永愼	권영신	Kwŏn Yŏngsin			安東 權		安東權氏成化譜	3	26	a	
E001025	權錘	권추	Kwŏn Ch'u			安東 權	司直	安東權氏成化譜	3	26	a	
E001040	張末孫					仁同 張	僉知	安東權氏成化譜	3	26	a	
E001066	權鈞	권균	Kwŏn Kyun			安東 權	司正	安東權氏成化譜	3	26	a	
E001069	金成慶	김성경	Kim Sŏnggyŏng			善山 金	判官	安東權氏成化譜	3	26	a	
E202678	孟繼曾	맹계증	Maeng Kyejŭng			新昌 孟	直長	安東權氏成化譜	3	26	a	
E305680	李士平	이사평	Yi Sap'yŏng			長水 李		安東權氏成化譜	3	26	a	
EB04068	權永保	권영보	Kwŏn Yŏngbo			安東 權	直長	安東權氏成化譜	3	26	a	
EB04069	權慶	권경	Kwŏn Kyŏng			安東 權	護軍	安東權氏成化譜	3	26	a	
EB04070	權偮	권즙	Kwŏn Chŭp			安東 權	 	安東權氏成化譜	3	26	a	
EB04072	趙季瑾	조계근	Cho Kyegŭn				通禮	安東權氏成化譜	3	26	a	
EB04074	崔叔	최숙	Ch'oe Suk				正郞	安東權氏成化譜	3	26	a	
EB04075	權悰	권종	Kwŏn Chong			安東 權	別侍	安東權氏成化譜	3	26	a	
EB04077	朴元根	박원근	Pak Wŏn'gŭn				上將	安東權氏成化譜	3	26	a	
EB04078	權恂					安東 權	忠贊衛	安東權氏成化譜	3	26	a	
EB04080	朴嚴	박엄	Pak Ŏm				甲士	安東權氏成化譜	3	26	a	
EB04082	孟碩堅	맹석견	Maeng Sŏkkyŏn			新昌 孟	 	安東權氏成化譜	3	26	a	
EB04083	孟碩俊	맹석준	Maeng Sŏkchun			新昌 孟	司直	安東權氏成化譜	3	26	a	
EB04085	安修義	안수의	An Suŭi				生員	安東權氏成化譜	3	26	a	
EC02379	李秉正	이병정	Yi Pyŏngjŏng			全義 李	僉知	安東權氏成化譜	3	26	a	
EC03374	孟碩敬	맹석경	Maeng Sŏkkyŏng			新昌 孟	 	安東權氏成化譜	3	26	a	
EA03183	柳僡					文化 柳	上護軍	安東權氏成化譜	3	26	b	
EB02139	柳儹	유찬	Yu Ch'an			文化 柳	上護軍	安東權氏成化譜	3	26	b	
EB02156	柳復					文化 柳	司直	安東權氏成化譜	3	26	b	
EB02166	柳孟孫	유맹손	Yu Maengson			文化 柳	生員	安東權氏成化譜	3	26	b	
EB02194	柳千孫					文化 柳		安東權氏成化譜	3	26	b	
EB02222	柳績	유적	Yu Chŏk			文化 柳	別坐	安東權氏成化譜	3	26	b	
EB02223	柳孝孫	유효손	Yu Hyoson			文化 柳		安東權氏成化譜	3	26	b	
EB04087	李存性	이존성	Yi Chonsŏng				三司右事	安東權氏成化譜	3	26	b	
EB04089	河演	하연	Ha Yŏn			晉州 河	領議政	安東權氏成化譜	3	26	b	
EB04090	河孝明	하효명	Ha Hyomyŏng				正郞	安東權氏成化譜	3	26	b	
EB04091	河孟淳	하맹순	Ha Maengsun				縣監	安東權氏成化譜	3	26	b	
EB04092	河福山	하복산	Ha Poksan				縣監	安東權氏成化譜	3	26	b	
EB04094	朴貴孫	박귀손	Pak Kwison				 	安東權氏成化譜	3	26	b	
EB04095	河悌明	하제명	Ha Chemyŏng			晉州 河	佐郞	安東權氏成化譜	3	26	b	
EB04096	河友明	하우명	Ha Umyŏng			晉州 河	中樞	安東權氏成化譜	3	26	b	
EB04098	柳季孫	유계손	Yu Kyeson			文化 柳	 	安東權氏成化譜	3	26	b	
EC00486	柳京生					文化 柳	牧使	安東權氏成化譜	3	26	b	
D401299	廉頤	염이	Yŏm I	廉怡		瑞原 廉	僉知 通禮門事	安東權氏成化譜	3	27	a	
D401697	廉致中	염치중	Yŏm Ch'ijung			瑞原 廉	密直事	安東權氏成化譜	3	27	a	
E204456	辛壽聃	신수담	Sin Sudam			靈山 辛	縣監	安東權氏成化譜	3	27	a	
E401297	李伯良	이백량	Yi Paengnyang			陽城 李	檢中樞	安東權氏成化譜	3	27	a	
E702705	辛永禧	신영희	Sin Yŏnghŭi	辛永僖		靈山 辛		安東權氏成化譜	3	27	a	
E900147	金哲鈞					安東 金	主簿	安東權氏成化譜	3	27	a	
E903571	金孟廉	김맹렴	Kim Maengnyŏm			安東 金	監察	安東權氏成化譜	3	27	a	
E903573	金壽元	김수원	Kim Suwŏn			安東 金	 	安東權氏成化譜	3	27	a	
E903576	金壽仁	김수인	Kim Suin			安東 金	 	安東權氏成化譜	3	27	a	
E903577	金壽眞	김수진	Kim Sujin			安東 金	 	安東權氏成化譜	3	27	a	
EA01806	李孝奉	이효봉	Yi Hyobong			陽城 李	別侍	安東權氏成化譜	3	27	a	
EA01807	李長孫	이장손	Yi Changson			陽城 李	 	安東權氏成化譜	3	27	a	
EA01813	李蓿	이숙	Yi Suk			陽城 李	察訪	安東權氏成化譜	3	27	a	
EA01814	李孝孫	이효손	Yi Hyoson			陽城 李	 	安東權氏成化譜	3	27	a	
EB02505	柳纁	유훈	Yu Hun			文化 柳		安東權氏成化譜	3	27	a	
EB04100	安友參	안우삼	An Usam				 	安東權氏成化譜	3	27	a	
EB04104	姜淮伯	강회백	Kang Hoebaek			晋州 姜		安東權氏成化譜	3	27	a	
E000919	廉順良	염순량	Yŏm Sullyang			瑞原 廉	直長	安東權氏成化譜	3	27	b	
E103522	廉尙恒	염상항	Yŏm Sanghang			瑞原 廉	郡事	安東權氏成化譜	3	27	b	
E103523	廉修	염수	Yŏm Su			瑞原 廉	 	安東權氏成化譜	3	27	b	
E103526	李念智					牙州 李	殿直	安東權氏成化譜	3	27	b	
E103528	廉貴恒	염귀항	Yŏm Kwihang			瑞原 廉	生員	安東權氏成化譜	3	27	b	
E103529	廉有恒	염유항	Yŏm Yuhang			瑞原 廉	副司直	安東權氏成化譜	3	27	b	
EA01818	李葳	이위	Yi Wi			陽城 李	 	安東權氏成化譜	3	27	b	
EA01822	李蘅	이형	Yi Hyŏng			陽城 李	別侍	安東權氏成化譜	3	27	b	
EA01832	李菖	이창	Yi Ch'ang			陽城 李	內禁	安東權氏成化譜	3	27	b	
EA01833	李若奉	이약봉	Yi Yakpong			陽城 李	武科	安東權氏成化譜	3	27	b	
EA01834	李莫奉	이막봉	Yi Makpong			陽城 李	 	安東權氏成化譜	3	27	b	
EA01835	李興奉	이흥봉	Yi Hŭngbong			陽城 李	 	安東權氏成化譜	3	27	b	
EB04106	李末奉	이말봉	Yi Malbong			陽城 李	別侍	安東權氏成化譜	3	27	b	
79ecaf98-e46a-48e1-ad12-b8811abe793a	安民					順興 安		安東權氏成化譜	3	28	a	
b4743b37-5b0e-4e35-8d89-9a928a408b12	金允孫						縣令	安東權氏成化譜	3	28	a	
E101393	愼承善	신승선	Sin Sŭngsŏn			居昌 愼	居昌君	安東權氏成化譜	3	28	a	
E101750	安節					順興 安	丞	安東權氏成化譜	3	28	a	
E102338	廉紀	염기	Yŏm Ki			瑞原 廉	護軍	安東權氏成化譜	3	28	a	
E103530	廉以恒					瑞原 廉	司勇	安東權氏成化譜	3	28	a	
E103531	廉從恒					瑞原 廉		安東權氏成化譜	3	28	a	
E103533	廉順恭	염순공	Yŏm Sun'gong			瑞原 廉	博士	安東權氏成化譜	3	28	a	
E103537	趙普						敎授	安東權氏成化譜	3	28	a	
E204893	權宗	권종	Kwŏn Chong			安東 權	縣令	安東權氏成化譜	3	28	a	
E300376	朝鮮 燕山君			李㦕	承平正	全州 李		安東權氏成化譜	3	28	a	
E303498	李垙	이광	Yi Kwang			延安 李	別坐	安東權氏成化譜	3	28	a	
E400561	安祖同	안조동	An Chodong			順興 安	判事	安東權氏成化譜	3	28	a	
E401041	安剛					順興 安	知高州事	安東權氏成化譜	3	28	a	
E600027	愼敦仁	신돈인	Sin Tonin			居昌 愼	縣監	安東權氏成化譜	3	28	a	
E600067	愼敦義	신돈의	Sin Tonŭi			居昌 愼	內禁	安東權氏成化譜	3	28	a	
E600089	愼敦禮	신돈례	Sin Tollye			居昌 愼	僉知	安東權氏成化譜	3	28	a	
E600101	愼敦智	신돈지	Sin Tonji			居昌 愼	僉知	安東權氏成化譜	3	28	a	
E600115	愼敦信	신돈신	Sin Tonsin			居昌 愼	縣令	安東權氏成化譜	3	28	a	
E600137	愼守正	신수정	Sin Sujŏng			居昌 愼	直長	安東權氏成化譜	3	28	a	
E600168	愼守榮	신수영	Sin Suyŏng			居昌 愼	判書	安東權氏成化譜	3	28	a	
E600192	愼守謙	신수겸	Sin Sugyŏm			居昌 愼	留守	安東權氏成化譜	3	28	a	
E904229	安敬止	안경지	An Kyŏngji			順興 安	錄事	安東權氏成化譜	3	28	a	
E904232	朴悌諴	박제함	Pak Cheham			忠州 朴		安東權氏成化譜	3	28	a	
E904235	愼詮	신전	Sin Chŏn			居昌 愼	觀察使	安東權氏成化譜	3	28	a	
E904242	安敬慮	안경려	An Kyŏngnyŏ			順興 安	護軍	安東權氏成化譜	3	28	a	
E904243	安邦	안방	An Pang			順興 安	 	安東權氏成化譜	3	28	a	
E904244	安國	안국	An Kuk			順興 安	 	安東權氏成化譜	3	28	a	
E904247	安民	안민	An Min			順興 安	縣監	安東權氏成化譜	3	28	a	
E904250	安敬曾	안경증	An Kyŏngjŭng			順興 安	 	安東權氏成化譜	3	28	a	
E904251	安敬宗	안경종	An Kyŏngjong			順興 安	別監	安東權氏成化譜	3	28	a	
