biog_id	x姓名	name	generation	inferred_choronym
E104859	蔡致仁	Ch'ae Ch'iin	19	
EA01886	蔡致義	Ch'ae Ch'iŭi	19	
E205545	蔡忠檢	Ch'ae Ch'unggŏm	19	
E201150	蔡自沉	Ch'ae Chach'im	21	
E206420	曺保	Cho Po	20	
E104221	曺變隆	Cho Pyŏllyung	19	
E807890	曺承貴	Cho Sŭnggwi	16	
E206409	曺承重	Cho Sŭngjung	19	
EA00765	曺璒	Cho Tŭng	20	
E103151	曺貴成	Cho Kwisŏng	20	
E305030	曺閈	Cho Han	20	
E103223	曺漢忠	Cho Hanch'ung	21	
E302186	曺漢忠	Cho Hanch'ung	19	
E103222	曺好正	Cho Hojŏng	20	
E103218	曺好直	Cho Hojik	19	
E807970	曺季林	Cho Kyerim	16	
E805626	曺繼虞	Cho Kyeu	21	
E305039	曺闓	Cho Kae	20	
E302189	曺匡輔	Cho Kwangbo	19	
E900566	曺末生	Cho Malsaeng	19	
E201638	曺末孫		19	
E904284	曺瑞	Cho Sŏ	20	
E103217	曺尙	Cho Sang	18	
E807965	曺尙林	Cho Sangnim	16	
E103877	曺紹老	Cho Soro	19	
E502552	曺始孫	Cho Sison	21	
E206414	曺倜	Cho Ch'ŏk	20	
E103219	曺吳善	Cho Osŏn	20	
E103784	曺喜	Cho Hŭi	20	
EB01385	曺祥	Cho Sang	20	
D206755	曺興	Cho Hŭng	15	
EA00794	曺珣	Cho Sun	19	
E402583	曺致	Cho Ch'i	17	
E904281	曺仲道	Cho Chungdo	19	
E807964	曺仲林	Cho Chungnim	16	
D206767	曺子暹	Cho Chasŏm	15	
E200992	曹常	Cho Sang	19	
EB04019	曹範	Cho Pŏm	18	
EB02986	曹亨孫	Cho Hyŏngson	20	
EB04133	曹彙	Cho Hwi	18	
E802607	曹九叙	Cho Kusŏ	20	
E200989	曹敏景	Cho Min'gyŏng	18	
E401223	曹命壽	Cho Myŏngsu	17	
E200991	曹壽	Cho Su	19	
E202224	曹錫文	Cho Sŏngmun	20	
D206506	曹誼	Cho Ŭi	13	
E903028	昌原君	Yi Sŏng	21	
E300049	朝鮮 成宗		23	
711c156f-327b-40a3-b8a6-178696946b59	朝鮮 德宗		20	
E300374	朝鮮 德宗		22	
EA02795	朝鮮 呂陽令		21	
E300454	朝鮮 齊安大君	Yi Hyŏn	23	
E300451	朝鮮 睿宗	Chosŏn Yejong	22	
E300371	朝鮮 世宗		19	
E300370	朝鮮 世祖		21	
E200306	朝鮮 太宗	Yi Pangwŏn	19	
E202603	朝鮮 文宗		20	
E203048	朝鮮 孝寧大君	Yi Po	17	
E300376	朝鮮 燕山君		23	
E300032	朝鮮 月山大君	Yi Chŏng	23	
E201777	陳成幹	Chin Sŏnggan	18	
E201982	陳耕	Chin Kyŏng	18	
D400404	陳光進	Chin Kwangjin	17	
E400405	陳胡	Chin Ho	18	
E402541	陳謹	Chin Kŭn	17	
E902584	陳克忠	Chin Kŭkch'ung	17	
E303317	陳錫臣	Chin Sŏksin	18	
E303311	陳錫公	Chin Sŏkkong	18	
E303313	陳錫卿	Chin Sŏkkyŏng	18	
E807716	陳以孝		17	
EA00387	陳猷	Chin Yu	20	
E402510	陳有蕃	Chin Yubŏn	17	
EA00385	陳致中	Chin Ch'ijung	19	
E304967	陳畤	Chin Si	18	
E104478	成聃齡	Sŏng Tamnyŏng	20	
E802717	成聃命	Sŏng Tammyŏng	20	
E902214	成聃年	Sŏng Tamnyŏn	20	
E104468	成聃壽	Sŏng Tamsu	20	
